الإداره	الإسم	رقم البصمه	التاريخ والوقت	نوع الحركه	المكان	الرقم	طريقة التسجيل	رقم الكارت
ACME Corp	John Doe	1	17/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	18/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	18/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	19/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	19/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	20/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	20/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	21/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	21/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	22/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	22/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	23/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	23/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	24/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	24/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	25/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	25/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	26/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	26/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	27/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	27/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	28/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	28/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	29/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	29/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	30/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	30/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	John Doe	1	31/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	John Doe	1	31/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	01/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	01/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	02/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	02/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	03/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	03/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	04/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	04/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	05/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	05/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	06/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	06/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	07/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	07/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	08/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	08/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	09/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	09/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	10/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	10/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	11/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	11/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	12/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	12/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	13/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	13/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	14/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	14/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	15/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	15/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	16/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	16/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	18/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	18/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	19/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	19/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	20/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	20/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	21/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	21/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	22/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	22/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	23/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	23/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	25/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	25/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	26/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	26/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	27/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	27/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	28/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	28/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	29/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	29/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Jane Smith	2	30/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Jane Smith	2	30/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	01/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	01/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	02/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	02/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	03/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	03/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	04/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	04/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	05/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	05/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	06/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	06/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	07/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	07/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	08/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	08/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	09/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	09/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	10/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	10/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	11/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	11/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	12/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	12/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	13/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	13/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	14/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	14/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	15/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	15/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	16/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	16/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	18/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	18/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	19/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	19/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	20/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	20/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	21/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	21/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	22/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	22/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	23/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	23/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	25/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	25/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	26/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	26/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	27/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	27/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	28/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	28/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	29/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	29/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Alice Johnson	3	30/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Alice Johnson	3	30/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	01/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	01/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	02/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	02/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	03/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	03/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	04/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	04/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	05/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	05/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	06/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	06/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	07/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	07/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	08/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	08/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	09/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	09/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	10/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	10/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	11/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	11/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	12/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	12/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	13/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	13/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	14/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	14/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	15/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	15/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	16/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	16/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	18/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	18/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	19/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	19/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	20/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	20/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	21/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	21/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	22/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	22/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	23/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	23/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	25/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	25/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	26/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	26/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	27/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	27/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	28/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	28/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	29/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	29/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Bob Brown	4	30/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Bob Brown	4	30/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	01/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	01/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	02/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	02/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	03/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	03/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	04/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	04/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	05/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	05/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	06/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	06/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	07/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	07/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	08/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	08/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	09/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	09/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	10/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	10/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	11/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	11/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	12/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	12/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	13/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	13/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	14/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	14/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	15/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	15/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	16/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	16/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	18/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	18/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	19/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	19/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	20/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	20/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	21/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	21/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	22/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	22/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	23/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	23/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	25/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	25/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	26/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	26/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	27/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	27/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	28/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	28/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	29/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	29/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
ACME Corp	Charlie Davis	5	30/07/2026 09:00:00 AM	حضور	1		Fingerprint	
ACME Corp	Charlie Davis	5	30/07/2026 07:00:00 PM	إنصراف	1		Fingerprint	
